Odhod 	Prihod 	Trajanje 	Razdalja 	Peron 	Opombe 	Cena
04:35 	05:05 	00:30 	21 km 	   	  	3.1 Eur
05:10 	05:40 	00:30 	21 km 	   	  	3.1 Eur
05:30 	06:03 	00:33 	21 km 	   		3.1 Eur
05:40 	06:10 	00:30 	21 km 	   	  	3.1 Eur
05:55 	06:29 	00:34 	22 km 	   		3.1 Eur
06:10 	06:45 	00:35 	21 km 	   		3.1 Eur
06:25 	07:02 	00:37 	21 km 	   		3.1 Eur
06:40 	07:17 	00:37 	21 km 	   		3.1 Eur
06:55 	07:36 	00:41 	21 km 	   		3.1 Eur
07:10 	07:51 	00:41 	21 km 	   		3.1 Eur
07:40 	08:18 	00:38 	21 km 	   		3.1 Eur
08:10 	08:46 	00:36 	21 km 	   		3.1 Eur
08:40 	09:10 	00:30 	21 km 	   		3.1 Eur
09:10 	09:40 	00:30 	21 km 	   	  	3.1 Eur
10:10 	10:40 	00:30 	21 km 	   	  	3.1 Eur
10:40 	11:10 	00:30 	21 km 	   		3.1 Eur
11:10 	11:40 	00:30 	21 km 	   	  	3.1 Eur
11:40 	12:10 	00:30 	21 km 	   		3.1 Eur
12:10 	12:40 	00:30 	21 km 	   	  	3.1 Eur
12:40 	13:10 	00:30 	21 km 	   		3.1 Eur
13:10 	13:40 	00:30 	21 km 	   	  	3.1 Eur
13:40 	14:10 	00:30 	21 km 	   	  	3.1 Eur
14:10 	14:40 	00:30 	21 km 	   	  	3.1 Eur
14:30 	15:03 	00:33 	21 km 	   		3.1 Eur
14:40 	15:11 	00:31 	21 km 	   		3.1 Eur
15:10 	15:40 	00:30 	21 km 	   	  	3.1 Eur
16:10 	16:40 	00:30 	21 km 	   	  	3.1 Eur
17:10 	17:40 	00:30 	21 km 	   	  	3.1 Eur
18:10 	18:40 	00:30 	21 km 	   	  	3.1 Eur
19:10 	19:40 	00:30 	21 km 	   		3.1 Eur
20:10 	20:40 	00:30 	21 km 	   	  	3.1 Eur
21:10 	21:40 	00:30 	21 km 	   	  	3.1 Eur
